speclam specflux F_lam_all F_lam_tot rayscat
3262.984389305 1.72548e-16 1.5837711821176893e+44 4.1924704573410813e+43 24.86496813109872
3264.05671310413 1.311009e-16 1.5827038156953673e+44 4.1917172231045665e+43 24.897670026591832
3265.12903690326 1.068209e-16 1.5816374662506762e+44 4.190963943320623e+43 24.930404168130142
3266.2013607024 1.479783e-16 1.5805721325411562e+44 4.1902106177993186e+43 24.963170576904698
3267.27368450153 2.085433e-16 1.5795078133262109e+44 4.189457246352399e+43 24.995969274112554
3268.34600830066 2.502229e-16 1.5784445073670497e+44 4.188703828793264e+43 25.028800280958663
3269.4183320998 2.014475e-16 1.5773822134267064e+44 4.187950364936955e+43 25.061663618655018
3270.49065589893 2.5739e-16 1.5763209302700783e+44 4.18719685460021e+43 25.094559308419527
3271.56297969806 1.681444e-16 1.5752606566638494e+44 4.1864432976013743e+43 25.127487371478036
3272.63530349719 8.821652e-17 1.5742013913765382e+44 4.1856896937604503e+43 25.160447829063042
3273.70762729633 1.574026e-16 1.5731431331784674e+44 4.1849360428990667e+43 25.193440702414346
3274.77995109546 1.412703e-16 1.5720858808418052e+44 4.1841823448405016e+43 25.22646601277775
3275.85227489459 1.648062e-16 1.5710296331405008e+44 4.183428599409641e+43 25.259523781406898
3276.92459869373 1.589879e-16 1.5699743888503116e+44 4.1826748064329776e+43 25.292614029562447
3277.99692249286 1.655286e-16 1.5689201467488262e+44 4.181920965738649e+43 25.32573677851112
3279.06924629199 1.103201e-16 1.5678669056154073e+44 4.1811670771563723e+43 25.35889204952749
3280.14157009113 1.776192e-16 1.5668146642312187e+44 4.1804131405174814e+43 25.392079863893038
3281.21389389026 3.11462e-16 1.565763421379243e+44 4.1796591556549066e+43 25.425300242895354
3282.28621768939 2.851282e-16 1.5647131758442313e+44 4.178905122403163e+43 25.4585532078299
3283.35854148853 2.161276e-16 1.56366392641272e+44 4.1781510405983403e+43 25.49183877999907
3284.43086528766 1.378685e-16 1.5626156718730656e+44 4.177396910078143e+43 25.52515698071133
3285.50318908679 1.536395e-16 1.5615684110153713e+44 4.17664273068182e+43 25.558507831283002
3286.57551288593 2.309438e-16 1.5605221426315273e+44 4.1758885022501795e+43 25.591891353037386
3287.64783668506 2.375721e-16 1.5594768655152267e+44 4.175134224625633e+43 25.625307567303807
3288.72016048419 2.497079e-16 1.558432578461908e+44 4.174379897652118e+43 25.658756495419457
3289.79248428333 2.133062e-16 1.5573892802687806e+44 4.1736255211751362e+43 25.692238158728586
3290.86480808246 2.435566e-16 1.55634696973485e+44 4.172871095041734e+43 25.72575257858133
3291.93713188159 1.605878e-16 1.5553056456608586e+44 4.172116619100497e+43 25.75929977633581
3293.00945568073 1.482148e-16 1.5542653068493127e+44 4.1713620932015526e+43 25.792879773357086
3294.08177947986 2.721758e-16 1.5532259521045013e+44 4.1706075171965633e+43 25.82649259101624
3295.15410327899 2.378867e-16 1.552187580232446e+44 4.169852890938712e+43 25.86013825069229
